Model,Split,NDCG@5,NDCG@10,NDCG@20,Precision@5,Precision@10,Precision@20,Recall@5,Recall@10,Recall@20,MAP,MRR@10,MRR@20
ALS,validation,0.0065727960114726,0.0100793849367381,0.0141243144520842,0.00716,0.01194,0.0166699999999999,0.0009143244900433,0.00321057108498,0.0089249180082975,0.0094149879597897,0.023096746031746,0.032848147880671
ALS,test,0.0056243027491648,0.0085144830393334,0.0106958354696509,0.0062,0.01008,0.01238,0.0007752028960985,0.0026222497763046,0.0064130844715768,0.0076308582154303,0.0194912698412698,0.0265911054580094
Two-Tower,validation,0.03628344265791322,0.0524208917573841,0.0744346548637402,0.010720000000000002,0.010920000000000001,0.011210000000000001,0.0013181741533802417,0.0026709835255028344,0.005436883659719402,0.00538036412400388,0.03042968253968254,0.03674327922163835
Two-Tower,test,0.027881231108453034,0.03964088203919385,0.05697796372240198,0.00836,0.008440000000000001,0.00852,0.0009402298908715716,0.001916645383612711,0.003925316973659419,0.004809995476093559,0.02287968253968254,0.027601021127135677
