split,ndcg@5,ndcg@10,ndcg@20,precision@5,precision@10,precision@20,recall@5,recall@10,recall@20,map,mrr@10,mrr@20
validation,0.006572796011472616,0.01007938493673812,0.014124314452084258,0.00716,0.01194,0.016669999999999997,0.0009143244900433695,0.0032105710849800887,0.008924918008297578,0.009414987959789714,0.02309674603174603,0.03284814788067109
test,0.005624302749164869,0.008514483039333465,0.01069583546965095,0.0062,0.01008,0.01238,0.0007752028960985187,0.002622249776304697,0.006413084471576843,0.007630858215430365,0.019491269841269844,0.02659110545800948
